Column1,index,AI and Machine Learning,Big Data,Blockchain and Cryptocurrency,IoT,AR and VR,Cybersecurity,Automation,NLP,Quantum Computing,5G,Edge Computing,Data Analytics,Biotechnology,Nanotechnology,Wearable Technology,Voice User Interface (VUI),FinTech,Data Mining,Predictive Analysis,Chatbots,3D Printing,Smart Cities,Regtech,Insurtech,E-Commerce,Serverless Computing,Software/Platform/Infrastructure as a Service/Cloud Computing,Web Applications,doi,journal
33,232,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104061,Advances in Water Resources
34,235,25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2021.104051,Advances in Water Resources
35,260,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.104011,Advances in Water Resources
36,269,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103965,Advances in Water Resources
37,276,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103968,Advances in Water Resources
38,291,44,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103941,Advances in Water Resources
39,298,22,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103948,Advances in Water Resources
40,304,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103910,Advances in Water Resources
41,305,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2021.103915,Advances in Water Resources
42,307,44,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,3,4,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2021.103920,Advances in Water Resources
43,316,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2021.103891,Advances in Water Resources
44,319,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103894,Advances in Water Resources
45,325,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,10,1,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103907,Advances in Water Resources
46,329,31,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103878,Advances in Water Resources
47,345,33,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,13,2,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103840,Advances in Water Resources
48,351,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103797,Advances in Water Resources
49,355,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103799,Advances in Water Resources
50,361,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2020.103819,Advances in Water Resources
51,366,18,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,16,1,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103715,Advances in Water Resources
52,367,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103821,Advances in Water Resources
53,370,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103754,Advances in Water Resources
54,373,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,33,1,4,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103753,Advances in Water Resources
55,380,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103760,Advances in Water Resources
56,395,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,4,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103719,Advances in Water Resources
57,398,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103733,Advances in Water Resources
58,406,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103731,Advances in Water Resources
59,421,72,1,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,37,1,0,9,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103708,Advances in Water Resources
60,426,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2020.103661,Advances in Water Resources
61,428,9,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,2,10.1016/j.advwatres.2020.103662,Advances in Water Resources
62,433,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103672,Advances in Water Resources
63,441,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103683,Advances in Water Resources
64,456,133,18,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,56,5,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103619,Advances in Water Resources
65,470,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103634,Advances in Water Resources
66,471,74,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,6,9,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103656,Advances in Water Resources
67,474,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103595,Advances in Water Resources
68,476,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103611,Advances in Water Resources
69,481,26,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103610,Advances in Water Resources
70,486,76,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103601,Advances in Water Resources
71,494,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103582,Advances in Water Resources
72,496,84,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,38,0,0,0,4,0,0,0,1,0,1,10.1016/j.advwatres.2020.103600,Advances in Water Resources
73,500,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2020.103554,Advances in Water Resources
74,502,11,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103540,Advances in Water Resources
75,504,72,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103545,Advances in Water Resources
76,507,27,1,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,17,2,2,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103539,Advances in Water Resources
77,533,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103479,Advances in Water Resources
78,534,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103484,Advances in Water Resources
79,536,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103501,Advances in Water Resources
80,545,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103462,Advances in Water Resources
81,548,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103476,Advances in Water Resources
82,552,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103483,Advances in Water Resources
83,556,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2019.103429,Advances in Water Resources
84,558,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103426,Advances in Water Resources
85,561,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103443,Advances in Water Resources
86,562,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2019.103442,Advances in Water Resources
87,564,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103430,Advances in Water Resources
88,565,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103448,Advances in Water Resources
89,574,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103425,Advances in Water Resources
90,589,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.07.007,Advances in Water Resources
91,613,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.06.006,Advances in Water Resources
92,618,5,1,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,4,10.1016/j.advwatres.2019.06.007,Advances in Water Resources
93,624,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.05.003,Advances in Water Resources
94,651,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,1,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.004,Advances in Water Resources
95,652,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.009,Advances in Water Resources
96,655,25,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,5,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.012,Advances in Water Resources
97,667,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.03.007,Advances in Water Resources
98,679,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.002,Advances in Water Resources
99,694,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2019.01.002,Advances in Water Resources
100,696,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,10.1016/j.advwatres.2019.01.006,Advances in Water Resources
101,701,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.12.006,Advances in Water Resources
102,705,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.12.010,Advances in Water Resources
103,706,15,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2018.12.003,Advances in Water Resources
104,719,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.11.010,Advances in Water Resources
105,725,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.10.003,Advances in Water Resources
106,733,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.10.013,Advances in Water Resources
107,763,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.04.007,Advances in Water Resources
108,785,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.03.017,Advances in Water Resources
109,799,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2018.05.015,Advances in Water Resources
110,819,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.11.013,Advances in Water Resources
111,834,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.01.021,Advances in Water Resources
112,851,37,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2018.01.003,Advances in Water Resources
113,872,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.11.026,Advances in Water Resources
114,873,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.10.005,Advances in Water Resources
115,878,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.12.009,Advances in Water Resources
116,885,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.12.018,Advances in Water Resources
117,886,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.12.020,Advances in Water Resources
118,888,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.10.013,Advances in Water Resources
119,890,3,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.10.015,Advances in Water Resources
120,893,26,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2017.10.039,Advances in Water Resources
121,899,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.11.008,Advances in Water Resources
122,905,73,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.11.010,Advances in Water Resources
123,908,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,4,0,10.1016/j.advwatres.2017.10.023,Advances in Water Resources
124,916,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2023.02.002,Ecohydrology & Hydrobiology
126,924,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2023.01.001,Ecohydrology & Hydrobiology
127,927,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10.1016/j.ecohyd.2022.11.004,Ecohydrology & Hydrobiology
128,931,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,10.1016/j.ecohyd.2022.11.002,Ecohydrology & Hydrobiology
129,940,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10.1016/j.ecohyd.2022.08.002,Ecohydrology & Hydrobiology
130,946,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10.1016/j.ecohyd.2022.03.002,Ecohydrology & Hydrobiology
131,963,16,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2021.10.001,Ecohydrology & Hydrobiology
132,966,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2021.07.008,Ecohydrology & Hydrobiology
133,970,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2021.06.001,Ecohydrology & Hydrobiology
134,977,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2021.08.014,Ecohydrology & Hydrobiology
135,985,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2021.02.004,Ecohydrology & Hydrobiology
136,993,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2021.05.001,Ecohydrology & Hydrobiology
137,997,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2021.05.006,Ecohydrology & Hydrobiology
138,1013,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2021.02.005,Ecohydrology & Hydrobiology
139,1018,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2020.11.003,Ecohydrology & Hydrobiology
140,1027,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2020.08.002,Ecohydrology & Hydrobiology
141,1061,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10.1016/j.ecohyd.2020.04.004,Ecohydrology & Hydrobiology
142,1066,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,10.1016/j.ecohyd.2019.09.001,Ecohydrology & Hydrobiology
143,1070,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2019.11.004,Ecohydrology & Hydrobiology
144,1071,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2020.01.001,Ecohydrology & Hydrobiology
145,1072,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2020.02.001,Ecohydrology & Hydrobiology
146,1075,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2019.10.006,Ecohydrology & Hydrobiology
147,1089,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2019.07.001,Ecohydrology & Hydrobiology
148,1100,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1016/j.ecohyd.2019.01.007,Ecohydrology & Hydrobiology
149,1103,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2018.01.001,Ecohydrology & Hydrobiology
150,1119,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,2,10.1016/j.ecohyd.2019.01.003,Ecohydrology & Hydrobiology
151,1128,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2018.11.001,Ecohydrology & Hydrobiology
152,1145,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10.1016/j.ecohyd.2018.11.007,Ecohydrology & Hydrobiology
