index,AI and Machine Learning,Big Data,Blockchain and Cryptocurrency,IoT,AR and VR,Cybersecurity,Automation,NLP,Quantum Computing,5G,Edge Computing,Data Analytics,Biotechnology,Nanotechnology,Wearable Technology,Voice User Interface (VUI),FinTech,Data Mining,Predictive Analysis,Chatbots,3D Printing,Smart Cities,Regtech,Insurtech,E-Commerce,Serverless Computing,Software/Platform/Infrastructure as a Service/Cloud Computing,Web Applications,doi,journal
316,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2021.103891,Advances in Water Resources
319,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103894,Advances in Water Resources
325,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,10,1,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103907,Advances in Water Resources
326,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103913,Advances in Water Resources
329,31,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2021.103878,Advances in Water Resources
345,33,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,13,2,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103840,Advances in Water Resources
348,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.1016/j.advwatres.2020.103842,Advances in Water Resources
351,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103797,Advances in Water Resources
353,1,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103796,Advances in Water Resources
355,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103799,Advances in Water Resources
358,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103801,Advances in Water Resources
361,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2020.103819,Advances in Water Resources
366,18,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,16,1,1,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103715,Advances in Water Resources
367,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103821,Advances in Water Resources
370,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103754,Advances in Water Resources
373,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,33,1,4,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103753,Advances in Water Resources
380,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103760,Advances in Water Resources
388,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,1,0,0,10.1016/j.advwatres.2020.103779,Advances in Water Resources
395,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,4,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103719,Advances in Water Resources
398,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103733,Advances in Water Resources
406,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103731,Advances in Water Resources
413,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103686,Advances in Water Resources
414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103703,Advances in Water Resources
420,2,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103707,Advances in Water Resources
421,72,1,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,37,1,0,9,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103708,Advances in Water Resources
426,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2020.103661,Advances in Water Resources
428,9,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,2,10.1016/j.advwatres.2020.103662,Advances in Water Resources
433,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103672,Advances in Water Resources
438,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,1,10.1016/j.advwatres.2020.103676,Advances in Water Resources
441,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103683,Advances in Water Resources
456,133,18,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,56,5,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103619,Advances in Water Resources
470,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103634,Advances in Water Resources
471,74,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,6,9,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103656,Advances in Water Resources
474,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103595,Advances in Water Resources
476,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103611,Advances in Water Resources
478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103614,Advances in Water Resources
481,26,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103610,Advances in Water Resources
486,76,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103601,Advances in Water Resources
494,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103582,Advances in Water Resources
496,84,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,38,0,0,0,4,0,0,0,1,0,1,10.1016/j.advwatres.2020.103600,Advances in Water Resources
500,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2020.103554,Advances in Water Resources
502,11,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103540,Advances in Water Resources
504,72,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103545,Advances in Water Resources
506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103556,Advances in Water Resources
507,27,1,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,17,2,2,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103539,Advances in Water Resources
521,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103512,Advances in Water Resources
533,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103479,Advances in Water Resources
534,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103484,Advances in Water Resources
536,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103501,Advances in Water Resources
540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103463,Advances in Water Resources
545,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103462,Advances in Water Resources
548,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103476,Advances in Water Resources
552,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103483,Advances in Water Resources
556,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2019.103429,Advances in Water Resources
558,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103426,Advances in Water Resources
561,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103443,Advances in Water Resources
562,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2019.103442,Advances in Water Resources
564,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103430,Advances in Water Resources
565,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103448,Advances in Water Resources
569,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103406,Advances in Water Resources
574,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103425,Advances in Water Resources
581,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,1,0,1,10.1016/j.advwatres.2019.103405,Advances in Water Resources
589,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.07.007,Advances in Water Resources
604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,10.1016/j.advwatres.2019.05.020,Advances in Water Resources
607,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,10.1016/j.advwatres.2019.05.019,Advances in Water Resources
612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.05.028,Advances in Water Resources
613,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.06.006,Advances in Water Resources
616,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,5,0,0,0,0,0,0,10.1016/j.advwatres.2019.05.025,Advances in Water Resources
617,0,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,1,10.1016/j.advwatres.2019.06.014,Advances in Water Resources
618,5,1,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,4,10.1016/j.advwatres.2019.06.007,Advances in Water Resources
620,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.1016/j.advwatres.2019.06.012,Advances in Water Resources
621,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.06.013,Advances in Water Resources
624,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.05.003,Advances in Water Resources
644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.09.001,Advances in Water Resources
651,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,1,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.004,Advances in Water Resources
652,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.009,Advances in Water Resources
655,25,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,5,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.012,Advances in Water Resources
658,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.013,Advances in Water Resources
667,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.03.007,Advances in Water Resources
679,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.002,Advances in Water Resources
687,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,1,0,1,10.1016/j.advwatres.2019.02.007,Advances in Water Resources
694,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2019.01.002,Advances in Water Resources
696,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,10.1016/j.advwatres.2019.01.006,Advances in Water Resources
701,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.12.006,Advances in Water Resources
705,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.12.010,Advances in Water Resources
706,15,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2018.12.003,Advances in Water Resources
719,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.11.010,Advances in Water Resources
725,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.10.003,Advances in Water Resources
730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.10.012,Advances in Water Resources
732,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2018.10.021,Advances in Water Resources
733,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.10.013,Advances in Water Resources
739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10.1016/j.advwatres.2018.10.016,Advances in Water Resources
744,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2018.07.007,Advances in Water Resources
763,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.04.007,Advances in Water Resources
783,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,7,0,0,0,0,0,1,10.1016/j.advwatres.2018.06.008,Advances in Water Resources
785,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.03.017,Advances in Water Resources
799,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2018.05.015,Advances in Water Resources
808,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0,0,10.1016/j.advwatres.2018.05.010,Advances in Water Resources
819,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.11.013,Advances in Water Resources
834,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.01.021,Advances in Water Resources
851,37,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2018.01.003,Advances in Water Resources
