,AI and Machine Learning,Big Data,Blockchain and Cryptocurrency,IoT,AR and VR,Cybersecurity,Automation,Modeling,NLP,Quantum Computing,5G,Edge Computing,Data Analytics,Biotechnology,Nanotechnology,Wearable Technology,Voice User Interface (VUI),FinTech,Data Mining,Predictive Analysis,Chatbots,3D Printing,Smart Cities,Regtech,Insurtech,E-Commerce,Serverless Computing,Software/Platform/Infrastructure as a Service/Cloud Computing,Web Applications,doi
504,72,0,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2020.103545
507,27,1,0,0,0,0,0,38,1,0,4,0,0,0,0,0,1,0,17,2,2,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2020.103539
533,116,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103479
534,60,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103484
540,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103463
548,14,0,0,0,0,0,0,28,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103476
556,19,0,0,0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2019.103429
562,15,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2019.103442
564,16,0,0,0,0,0,0,51,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103430
569,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.103406
612,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.05.028
651,0,14,0,0,0,0,0,31,0,0,0,0,14,0,0,0,0,0,14,1,0,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.004
652,0,0,0,0,0,1,0,20,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.009
655,25,0,0,1,0,0,0,20,3,0,0,0,0,0,0,0,0,0,6,0,5,0,2,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.012
658,6,0,0,0,0,10,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10.1016/j.advwatres.2019.04.013
696,43,0,0,0,1,0,0,145,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,10.1016/j.advwatres.2019.01.006
701,14,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.12.006
763,49,0,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.04.007
799,46,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2018.05.015
855,2,1,0,0,0,0,0,44,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2018.01.008
872,82,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.11.026
878,33,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.12.009
886,36,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.12.020
893,26,0,0,0,0,2,0,23,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,10.1016/j.advwatres.2017.10.039
905,73,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,10.1016/j.advwatres.2017.11.010
908,11,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,4,0,10.1016/j.advwatres.2017.10.023
916,17,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10.1016/j.ecohyd.2023.02.002
940,24,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10.1016/j.ecohyd.2022.08.002
946,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10.1016/j.ecohyd.2022.03.002
986,24,0,0,0,0,28,0,3,0,0,0,0,0,0,0,0,0,0,0,29,0,0,4,0,0,0,0,0,0,10.1016/j.ecohyd.2021.06.002
1010,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,10.1016/j.ecohyd.2020.12.002
1012,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10.1016/j.ecohyd.2020.11.005
1119,14,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,2,10.1016/j.ecohyd.2019.01.003
1166,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,16,0,0,0,0,0,0,10.1016/j.ecohyd.2017.10.004
1172,40,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,62,0,0,0,7,0,0,0,0,0,6,10.1016/j.ecohyd.2017.11.006
1173,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,3,10.1016/j.ecohyd.2017.11.007
1204,10,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,10.1016/j.jconhyd.2023.104201
1208,29,0,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2023.104151
1236,1,0,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2022.104121
1250,19,2,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,20,2,2,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2022.104078
1253,10,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2022.104089
1262,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2022.104100
1279,2,0,0,0,0,19,0,15,0,0,0,0,3,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2022.104031
1280,0,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2022.104046
1284,23,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2022.104024
1356,13,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103864
1357,0,0,0,0,0,0,0,19,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103870
1359,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103867
1361,0,0,0,0,0,0,0,13,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103881
1363,34,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103887
1365,28,0,0,0,0,0,0,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103889
1380,47,0,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103914
1410,13,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103806
1427,24,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103835
1429,53,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103781
1431,24,3,0,0,0,0,0,7,0,0,2,0,2,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103798
1441,98,0,0,2,0,0,0,1,0,0,26,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,10.1016/j.jconhyd.2021.103793
1451,3,0,0,0,1,0,0,25,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2020.103751
1470,0,0,0,13,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10.1016/j.jconhyd.2020.103711
1476,35,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,10.1016/j.jconhyd.2020.103718
1496,3,0,0,0,0,1,0,35,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2020.103681
1563,0,0,0,0,0,0,0,14,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2019.103524
1584,0,0,0,0,0,0,0,26,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2019.02.006
1610,45,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2018.10.010
1616,11,1,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2018.11.010
1667,12,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2017.11.002
1671,3,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,1,10.1016/j.jconhyd.2018.03.002
1674,0,0,0,0,0,0,0,12,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2018.03.009
1676,0,0,0,0,0,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2018.02.001
1679,30,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.jconhyd.2018.02.007
1696,38,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,6,1,10,0,1,0,0,0,0,0,0,10.1016/j.jher.2021.10.002
1697,129,0,5,1,0,0,0,4,0,0,2,1,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,1,10.1016/j.jher.2021.03.002
1721,4,0,0,0,0,10,0,5,0,0,0,0,1,0,0,0,0,0,3,10,0,0,1,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129771
1722,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,10.1016/j.jhydrol.2023.129784
1724,51,2,0,0,0,0,0,4,2,0,1,0,2,0,0,0,2,0,54,0,4,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129732
1731,25,0,0,0,0,1,0,42,0,0,0,0,0,1,0,0,0,0,7,1,0,0,4,0,0,0,0,0,1,10.1016/j.jhydrol.2023.129689
1740,26,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129787
1741,16,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129809
1756,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129819
1777,54,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,32,1,0,0,1,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129686
1781,1,3,0,0,0,23,0,7,0,0,0,0,4,0,0,0,0,0,4,23,0,0,6,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129697
1785,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129688
1790,38,0,0,3,0,0,0,27,0,0,3,3,0,0,0,0,0,0,4,2,12,0,3,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129705
1801,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,0,13,0,1,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129649
1803,0,0,0,0,0,2,0,24,0,0,0,0,1,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129656
1811,101,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129668
1814,22,6,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129682
1820,37,1,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129707
1828,32,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129702
1829,15,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129736
1847,29,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129538
1856,11,0,0,0,0,0,0,37,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129585
1859,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129589
1865,50,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,22,1,8,0,3,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129599
1866,18,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129602
1869,0,0,1,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129591
1878,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129605
1890,24,1,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129603
1893,30,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129576
1895,16,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129607
1914,1,0,0,0,0,0,0,22,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129672
1917,34,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129677
1922,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129561
1924,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129521
1935,33,0,0,0,0,0,0,15,0,0,2,0,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129465
1940,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129456
1943,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,0,0,0,2,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129478
1946,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,16,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129481
1950,39,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129499
1955,46,1,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,30,0,5,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129480
1956,13,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129498
1957,17,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129502
1963,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129505
1984,32,0,0,0,0,0,0,20,0,0,0,0,4,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129536
1991,41,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,1,0,11,0,2,0,0,0,0,0,0,0,0,10.1016/j.jhydrol.2023.129493
